Location,Sample_ID,lat,long,Elevation,Diameter,Depth,Cal_Volume,ORP,Temp,SpC,DO,TDS,Salinity,pH,Color,chla,DOC,DON,canopy,TP
BCSP,BCL01,39.167917,-86.203889,225,15.5,1.5,974.9081952,141.7,22,55,1.16,0.036,0.02,6.47,0.03763102,136.6,10.45,0.5833,0.1901,159.99
BCSP,BCL03,39.17525,-86.209444,222,13.5,1.5,644.1246688,84.7,20.8,98,0.53,0.064,0.05,6.37,0.06015436,764.6,10.03,1.699,0.0967,405.06
HNF,HNF132,39.038278,-86.209194,256,16,1.5,1072.330292,190.5,23.4,59,4.49,0.039,0.03,6.9,0.0147,80.57,8.662,0.3646,0.1797,170.5484745
HNF,HNF133,39.046472,-86.2155,279,13.5,1.5,644.1246688,144.8,21.7,5,1.28,0.037,0.03,6.36,0.0831,103.62,7.842,0.6778,0.2375,419.229528
HNF,HNF134,39.043056,-86.214444,294,13,1.5,575.173255,134.2,22.61,70,1.74,0.046,0.03,6.65,0.019,88.16,10.064,0.3928,0.2337,145.7655015
HNF,HNF144,39.053056,-86.218639,286,16,0.75,1072.330292,156.1,23.26,23,1.38,0.015,0.01,6.05,0.023,76.71,9.628,0.2196,0.399,208.1958915
HNF,HNF168,39.035111,-86.329639,257,32.5,1.5,8987.082109,161.3,24.72,29,3.78,0.019,0.01,6.38,0.0356965,50.19,7.501,0.2272,0.4778,151.3464
HNF,HNF185,38.991972,-86.387556,279,30,2,7068.583471,153,22.86,28,2.86,0.018,0.01,6.27,0.0192,84.25,8.016,0.08127,0.3407,184.5480165
HNF,HNF187,39.011836,-86.409764,267,26,1,4601.38604,188.6,22.36,27,1.92,0.017,0.01,5.9,0.0161,31.49,10.59,0.08139,0.4805,62.32
HNF,HNF216,39.024258,-86.312464,267,27,1.25,5152.99735,267.6,22.36,13,1.91,0.008,0,6.24,0.0163,20.94,8.413,0.264,0.5246,83.24052
HNF,HNF217,39.021417,-86.316778,226,25,0.75,4090.615434,178.3,24.22,22,3.28,0.014,0.01,6.18,0.03790738,23.52,13.15,0.2608,0.4594,68.295063
HNF,HNF224,39.032361,-86.303861,250,25,1.25,4090.615434,163,22.37,43,1.9,0.028,0.02,6.44,0.0244,66.56,4.995,0.2266,0.3841,197.6016435
HNF,HNF225,39.042639,-86.316139,247,28,1.1,5747.020161,230.8,23.06,12,2.79,0.008,0,5.78,0.0384,31.97,9.25,0.12,0.5521,89.483559
HNF,HNF229,39.049417,-86.317472,268,31,1.1,7799.265562,138.5,24,35,4.33,0.022,0.01,6.57,0.0313,48.55,9.833,0.2992,0.4448,147.751923
HNF,HNF242,39.008736,-86.305094,293,23.7,0.75,3485.087326,221.6,22.93,16,5.58,0.01,0.01,6.21,0.0206,56.4,9.206,0.2824,0.6273,86.456631
HNF,HNF250,39.029278,-86.319667,165,23,1,3185.313151,140.2,22.96,50,2.44,0.032,0.02,6.54,0.02726752,20.74,7.26,1.004,0.2062,222.1954335
HNF,HNF267,39.003806,-86.305833,216,24,1,3619.114737,101.6,24.01,40,3.51,0.026,0.02,6.53,0.02749782,162.56,7.36,0.913,0.3134,238.8435375
HNF,HNF269,39.0998264,-86.306817,281,20,0.25,2094.395102,326,25.8,24,6.05,0.015,0.01,6.6,0.0296,27.06,18.38,0.4344,0.7596,246.505449
HNF,HNF279,39.017394,-86.393003,265,14.5,1,798.1281586,27.1,21.3,70,0.31,0.046,0.03,6.54,0.0275,237.12,4.815,0.8656,,191.5477875
YSF,YSF004,39.124278,-86.282444,309,22,1.5,2787.639881,106.8,20.1,57,0.97,0.037,0.03,6.63,0.0453,445.1,10.746,0.2257,0.2645,391.7034015
YSF,YSF117,39.133017,-86.30795,276,11,1.1,348.4549852,163.7,19.56,64,1.11,0.042,0.03,6.47,0.0255,11.6,12.028,0.7348,0.203,305.2467705
YSF,YSF295,39.134417,-86.280583,287,13.5,2,644.1246688,120,21.23,49,3.1,0.032,0.02,6.63,0.0295,217.87,16.198,0.4623,0.1497,295.4092545
YSF,YSF296,39.131583,-86.295111,258,10,1.5,261.7993878,78.4,20.84,56,0.96,0.037,0.03,6.43,0.0975,46.87,14.326,0.6268,0.1518,570.765111
YSF,YSF298,39.1284,-86.327567,258,13,1.5,575.173255,190.7,20.03,44,0.63,0.028,0.02,6.35,0.039,36.62,7.054,0.3259,0.275,455.741847
YSF,YSF300,39.125517,-86.3425,257,17,1.75,1286.220392,181.3,19.87,44,1.01,0.028,0.02,6.3,0.0706,163.64,7.8,0.2224,0.1788,160.1434095
YSF,YSF44,39.109833,-86.298111,298,16,1.5,1072.330292,140.6,19.72,55,0.19,0.036,0.03,6.38,0.0413,27.82,10.824,1.035,0.1862,737.246151
YSF,YSF45,39.113667,-86.293333,301,21.5,1.5,2601.860491,116,19.26,45,0.8,0.029,0.02,6.18,0.0366,204.1,9.922,0.4197,0.226,211.2228195
YSF,YSF47,39.1169,-86.284417,289,19.5,1.25,1941.209736,138.8,21.41,33,3.55,0.022,0.01,6.33,0.0222,222.61,9.246,0.1648,0.2199,477.9708495
YSF,YSF65,39.142167,-86.286083,272,10,1.5,261.7993878,157.5,21.99,28,2.82,0.018,0.01,6.35,0.0357,183.2,8.14,0.271,0.1391,157.967805
YSF,YSF66,39.137778,-86.297528,280,17,0.75,1286.220392,146,21.04,37,0.79,0.023,0.02,6.16,0.0375,27.95,9.662,0.1931,0.1659,442.120671
YSF,YSF69,39.129806,-86.283333,283,14,1.5,718.3775201,115.5,21.53,65,1.13,0.043,0.03,6.52,0.0332,289.05,10.506,0.4639,0.1752,439.5667005
YSF,YSF70,39.127567,-86.286233,278,14.5,0.5,798.1281586,45,21.46,44,3.52,0.029,0.02,6.31,0.0425,401.69,11.266,0.1026,0.2205,538.3202265
YSF,YSF71,39.123278,-86.288667,283,17,1.5,1286.220392,215,20.78,44,1.96,0.028,0.02,6.24,0.0333,78.67,10.502,0.3617,0.1985,381.771294
YSF,YSF74,39.110767,-86.2867,265,13.5,1,644.1246688,130,21.6,58,0.86,0.038,0.03,6.5,0.0268,35.78,14.87,1.079,0.2487,479.389722
BCSP,BC010,39.140722,-86.196611,258,20,1.2,2094.395102,187.4,23.62,15,4.39,0.01,0.01,5.99,0.0487,36.46,6.616,0.1531,0.3983,145.7655015
HNF,HNF221,39.033139,-86.31075,198,28,1.5,5747.020161,203.1,22.5,30,4.27,0.019,0.01,6.5,0.0306,87.79,9.726,0.1342,0.3941,92.4158955
YSF,YSF46,39.3118583,-86.290278,307,16,1.25,1072.330292,156.2,18.57,36,2.97,0.023,0.02,6.46,0.0271,4.84,7.318,0.28,0.1882,651.735435
YSF,YSF67,39.13775,-86.296889,276,15,1.2,883.5729338,184.4,23.54,34,3.72,0.023,0.01,6.53,0.0287,50.91,11.02,0.1441,0.3095,270.6262815
HNF,HNF189,39.018853,-86.329706,227,35.2,1.5,11418.17295,187.3,24.29,42,3.71,0.027,0.02,6.7,0.0107,23.81,7.993,0.3153,0.4844,
HNF,HNF190,39.020928,-86.440528,239,31,1.5,7799.265562,114.5,26.2,82,4.9,0.053,0.04,7.08,0.0157,34.81,5.829,0.2151,,
HNF,HNF191,39.022747,-86.445147,234,35,1.5,11224.64875,,,,,,,6.54,,24.81,9.459,0.3543,,
HNF,HNF236,39.060744,-86.312136,247,,,0,294.3,20,36,,,,6.5,,13.35,8.642,0.256,,151.4409915
HNF,HNF237,39.003781,-86.30575,278,21.7,0.5,2675.148088,400,20.3,52,5.9,,,7.3,,,14.19,1.037,,431.904789
