	AEP	PEP	G1P	G6P	MethCP	BGP	DNA	Peth	Pchol	B1	Phyt	SRP	cAMP	ATP	PhenylCP	PolyP	GDP	GTP
WG23A	0.039951596	0.037659676	0.051315915	0.036858806	0	0.045583778	0.025510458	0.013594314	0.013494421	0.071510968	0.021850116	0.066096276	0.046034898	0.049539287	0	0.036687014	0.046769854	0.042250089
WG26	0.024952045	0.026427207	0.028878302	0.027956582	0	0.024468171	0.002598665	0.011003493	0.022980084	0.0207212	0.011966961	0.032520638	0.030747969	0.022188287	0	0.027408922	0.013830259	0.017438245
WG27	0	0.171619534	0.182813614	0.17716509	0	0.165299942	0.156433071	0.000728051	0.034901031	0.179458222	0.147639711	0.20387665	0.171658498	0.190554891	0.001944401	0.177400156	0.219062298	0.181181985
WG28	0	0.027363517	0.024850586	0.021198053	0.002037096	0.027903191	0.030750631	0.009024118	0.044511535	0.032522185	0.055093746	0.026615705	0.042184283	0.023747552	0.002238168	0.026127309	0.03980496	0.025425649
WG34B	0.646283241	0.584148605	0.535463595	0.504937767	0.000416682	0.557379196	0.002824353	0.002117892	0.000690265	0.713148337	0.005877096	0.647152482	0	0.507511315	0	0.432239433	0.60194241	0.506907222
WG36	0.130644044	0.193436523	0.197995018	0.195482276	0.156042035	0.195931546	0.097100223	0	0	0.219413078	0.038931547	0.21552461	0.096939834	0.246187135	0.169207064	0.205496164	0.279028156	0.265856208
WG40	0.211625189	0.204588859	0.215783448	0.184020692	0	0.191801136	0	0.004044042	0	0.422817743	0.059378166	0.303290511	0	0	0	0.201158586	0.004220666	0.000422475
WG42	0.054948673	0.044015558	0.049182858	0.047595846	0	0.046392869	0.002283284	0.062543434	0.0677952	0.054488818	0.055876369	0.051610311	0.045642393	0.050904657	0	0.056847421	0.045613475	0.05130672
WG43	0.003979279	0.083569997	0.082974799	0.090591102	0	0.084502964	0.083400728	0.135459737	0	0.07373681	0.080814645	0.091403523	0.092086683	0.121935449	0.000598707	0.085542601	0.096240636	0.094671991
WG44	0.047901218	0.019224999	0.036214985	0.020436688	0	0.023829269	0.00042615	0.008322064	0.029803542	0.029399497	0.019830577	0.047975295	0.034607305	0.022455072	0.01630525	0.018949764	0.026326532	0.021192707
WG481	0.001214633	0.077816915	0.089889512	0.075238625	0	0.069211556	0.107542548	0.018113812	0	0.070823917	0.09776863	0.11430487	0.107990379	0.089552131	0.000211272	0.115640175	0.140646948	0.127705279
WG49	0.065067982	2.644166859	0.616744919	0.844638079	0	2.188767032	0.055586486	0.006524893	0	1.389719766	0.764091128	1.830929835	0.43620108	2.308809205	0	1.391238765	2.620010913	1.742455241
WG56	0.009163364	0.216829205	0.19966066	0.208220768	0	0.249102572	0.139878253	0.063057176	0.008908776	0.216432743	0.151570597	0.239542175	0.201819858	0.229944915	0	0.209058344	0.281176404	0.26075454
WG58A	0.031322839	0.080650974	0.101282753	0.078584543	3.47E-05	0.07910504	0.039366061	0.016033959	0.015018619	0.120574603	0.030615938	0.076204872	0.043817521	0.148942112	0	0.061927236	0.392460961	0.308944937
WG58B	0.435168688	0.315989717	0.280497211	0.267111468	0	0.294649121	0	0	0	0.31872617	0.075544815	0.423202327	0.004099789	0.250094714	0.001182998	0.309404719	0.184467262	0.167294668
WG59	0.663339648	1.102517425	0.614186577	0.621631727	0.000965812	0.643823334	0.001336699	0.272337315	0.0176066	0.975024592	0.268962399	1.057800801	0.772450039	0.527705835	0.00054753	0.644044917	0.685032815	0.487944301
WG74	0	0.048369483	0.066780432	0.056070611	0	0.044496075	0.083065805	0.022258533	0.024072012	0.057714031	0.078923375	0.086155739	0.096424411	0.089394249	0	0.083066498	0.067379279	0.064320569
