Subclass	Order	Species	BMR_(mlO2/hour)	Body_mass_for_BMR_(gr)	Reference_for_BMR	FMR_(kJ/day)	Body_mass_for_FMR_(gr)	Reference_for_FMR
Eutheria	Carnivora	Cerdocyon_thous	1524.32	5444	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Eira_barbara	1221.3	2950	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Felis_concolor_(Puma_concolor)	8841.7	37200	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Felis_pardalis_(Leopardus_pardalis)	3126.3	10500	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Felis_rufus_(Lynx_rufus)	4220	9400	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Carnivora	Felis_serval_(Leptailurus_serval)	3137.2	10100	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Felis_wiedii_(Leopardus_wiedii)	937.2	3600	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Felis_yagouaroundi_(Herpailurus_yaguarondi)	1737	8400	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Fennecus_zerda_(Vulpes_zerda)	583.2	1215	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Fossa_fossana	906.26	2260	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Galerella_sanguinea	410.4	540	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Genetta_tigrina	747	1698	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Carnivora	Gulo_gulo	5694	12700	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Carnivora	Herpestes_javanicus	403.26	611	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Hyaena_hyaena	5728	34300	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Carnivora	Lutra_lutra	4500	10000	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Lycaon_pictus	-9999	-9999	-9999	15300	25170	Nagy_et_al99
Eutheria	Carnivora	Martes_americana	594.9	900	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Martes_martes	717	920	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Carnivora	Meles_meles	2984	11050	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Carnivora	Mirounga_angustirostris	-9999	-9999	-9999	30804	86750	Anderson_&_Jetz_2005
Eutheria	Carnivora	Mustela_erminea	165	75	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Mustela_frenata	240.58	225	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Mustela_vison	488.4	660	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Nandinia_binotata	862.54	4270	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Nasua_narica	1207.43	3670	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Nasua_nasua	993	4000	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Neophoca_cinerea	-9999	-9999	-9999	39500	83500	Nagy_et_al99
Eutheria	Carnivora	Panthera_leo	16954	98000	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Panthera_onca	11189	50400	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Carnivora	Panthera_tigris	23994.6	137900	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Paradoxurus_hermaphroditus	759.98	3160	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Phoca_vitulina	28467	85467	McNab2005ZoolSinica	52500	99000	Nagy_et_al99
Eutheria	Carnivora	Phocarctos_hookeri	-9999	-9999	-9999	52648.5	111400	Anderson_&_Jetz_2005
Eutheria	Carnivora	Potos_flavus	795.95	2343.33	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Procyon_cancrivorus	464	1160	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Carnivora	Procyon_lotor	1598.625	5075	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Proteles_cristatus	2194	8100	White_et_al06BiolLett	1850	8540	Nagy_et_al99
Eutheria	Carnivora	Spilogale_putorius	299.52	624	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Suricata_suricatta	310.25	850	White_et_al06BiolLett	468	697	Scantlebury_et_al02
Eutheria	Carnivora	Taxidea_taxus	2700	9000	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Ursus_ursinus_(Melursus_ursinus)	844	6696	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Carnivora	Vulpes_cana	-9999	-9999	-9999	642	972	Nagy_et_al99
Eutheria	Carnivora	Vulpes_rueppelli	798.9	1546	Williams_et_al02PhysiolBiochemZool	1014.65	1750	Williams_et_al02
Eutheria	Carnivora	Vulpes_velox	-9999	-9999	-9999	1780	2100	Nagy_et_al99
Eutheria	Carnivora	Vulpes_vulpes	2442	4440	White_et_al06BiolLett	2216.2	4926.6	Winstanlet_et_al03
Eutheria	Carnivora	Zalophus_californianus	31868	73000	McNab2005ZoolSinica	38600	78000	Nagy_et_al99
Eutheria	Chiroptera	Antrozous_pallidus	21.9	22	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Chiroptera	Chalinolobus_gouldii	25.2	17.5	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Cynopterus_brachyotis	47.5	37.4	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Desmodus_rotundus	34.692	29.4	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Diaemus_youngi	37.332	36.6	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Diphylla_ecaudata	38.642	27.8	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Dobsonia_minor	74.4	73.7	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Dobsonia_moluccensis	367.9	404.3	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Dobsonia_praedatrix	142.5	179.5	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Eonycteris_spelaea	48	51.6	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Eptesicus_fuscus	20.8	10.4	White_et_al06BiolLett	43.6	20.8	Nagy_et_al99
Eutheria	Chiroptera	Erophylla_bombifrons_(Erophylla_sezekorni)	17.71	16.1	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Eumops_perotis	39.76	56	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Glossophaga_commissarisi	-9999	-9999	-9999	45.7	8.7	Voigt_et_al_2006
Eutheria	Chiroptera	Glossophaga_sorcina	29.376	9.6	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Hipposideros_galeritus	9.35	8.5	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Histiotus_velatus	15.68	11.2	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Koopmania_concolor_(Artibeus_concolor)	39.794	19.7	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Leptonycteris_yerbabuenae_(Leptonycteris_curasoae)	44	22	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Macroderma_gigas	139.12	148	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Macroglossus_minimus	18.5	15.85	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Macrotus_californicus	14.625	11.7	White_et_al06BiolLett	21.5	13	Nagy_et_al99
Eutheria	Chiroptera	Megaloglossus_woermanni	18.5	12.4	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Chiroptera	Melonycteris_melanops	43.3	53.3	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Miniopterus_australis	94.336	107.2	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Miniopterus_schreibersi	25.9658	10.91	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Molossus_molossus	22.464	15.6	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Monophyllus_redmani	11.136	8.7	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Mormoops_blainvilli	7.998	8.6	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Mormoops_megalophylla	24.42	16.5	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Myotis_lucifugus	8.918	5.2	White_et_al06BiolLett	29.9	9	Nagy_et_al99
Eutheria	Chiroptera	Myotis_nigricans	8.9	3.7	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Chiroptera	Natalus_tumidirostris	8.316	5.4	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Noctilio_albiventris	31.59	27	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Noctilio_leporinus	70.76	61	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Nyctimene_albiventer	27.3	30.9	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Nyctimene_cyclotis	64.6	40.4	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Nyctimene_major	20.4	13.6	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Nyctophilus_geoffroyi	11.2	8	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Paranyctimene_raptor	24.5	23.6	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Peropteryx_macrotis	11.55	5	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Phyllostomus_discolor	47.905	33.5	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Phyllostomus_elongatus	47.9	35.6	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Chiroptera	Phyllostomus_hastatus	100.198	84.2	White_et_al06BiolLett	146	80.8	Nagy_et_al99
Eutheria	Chiroptera	Pipistrellus_pipistrellus	-9999	-9999	-9999	29.3	7.3	Nagy_et_al99
Eutheria	Chiroptera	Platyrrhinus_lineatus	44.895	21.9	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Plecotus_auritus	11.2	10.25	White&Seymour03PNAS	27.6	8.5	Nagy_et_al99
Eutheria	Chiroptera	Pteronotus_davyi	15.322	9.4	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Pteronotus_parnellii	30.72	19.2	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Pteronotus_personatus	22.96	14	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Pteronotus_quadridens	6.125	4.9	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Pteropus_giganteus	290.7	562.2	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Pteropus_hypomelanus	290.1	520.8	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Pteropus_poliocephalus	316.9	598	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Pteropus_pumilus	126.4	194.2	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Pteropus_rodricensis	134.9	254.5	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Pteropus_scapulatus	242.54	362	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Pteropus_vampyrus	804.1	1024.3	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Rhinonycteris_aurantinus_(Rhinonicteris_aurantia)	16.209	8.27	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Rhinophylla_fischerae	44.9	9.5	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Chiroptera	Rhinophylla_pumilio	18.62	9.5	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Rousettus_aegyptiacus	122.6	146	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Rousettus_amplexicaudatus	104.3	91.5	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Sturnira_lilium	53.217	21.9	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Sturnira_tildae	18.6	20.5	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Chiroptera	Syconycteris_australis	21.85	15.9	White_et_al06BiolLett	76.9	17.4	Geiser_&_Coburn99
Eutheria	Chiroptera	Tadarida_brasiliensis	20.28	16.9	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Tonatia_bidens	55.074	27.4	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Uroderma_bilobatum	31.59	16.2	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Vampyressa_pusilla	31.6	8.8	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Chiroptera_	Anoura_caudifera	42.67	11.5	White_et_al06BiolLett	51.9	11.5	Nagy_et_al99
Eutheria	Chiroptera_	Artibeus_fimbriatus	42.7	63.9	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Chiroptera_	Artibeus_jamaicensis	76.84	45.2	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera_	Artibeus_lituratus	107.954	70.1	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera_	Carollia_brevicauda	-9999	-9999	-9999	50	18.2	Voigt_et_al_2006
Eutheria	Chiroptera_	Carollia_perspicillata	43.061	14.9	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera_	Chiroderma_doriae	43.1	19.9	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Chiroptera_	Chrotopterus_auritus	141.267	96.1	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera_	Saccopteryx_bilineata	14.51	7.8	White_et_al06BiolLett	16.2	7.9	Anderson_&_Jetz_2005
Eutheria	Hyracoidea	Dendrohyrax_dorsalis	751	2210	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Hyracoidea	Heterohyrax_brucei	720	2000	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Hyracoidea	Procavia_capensis	660	2400	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Lagomorpha	Lepus_alleni	1650	3000	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lagomorpha	Lepus_americanus	1518	1581	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lagomorpha	Lepus_arcticus	1082	3004.4	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lagomorpha	Lepus_californicus	1311	2300	White&Seymour03PNAS	1300	1800	Nagy_et_al99
Eutheria	Lagomorpha	Lepus_timidus	2118	3025	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lagomorpha	Lepus_townsendii	1264	2430	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lagomorpha	Ochotona_dauurica	249	127.7	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lagomorpha	Ochotona_princeps	167	109	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lagomorpha	Oryctolagus_cuniculus	1140	2000	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lagomorpha	Sylvilagus_audubonii	438	672.4	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lypothyphla	Atelerix_albiventris	148.5	450	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Lypothyphla	Blarina_brevicauda	65.6	20.5	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lypothyphla	Blarina_carolinensis	33.7	10.2	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lypothyphla	Condylura_cristata	110.25	49	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Lypothyphla	Crocidura_crossei	22.4	10.2	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lypothyphla	Crocidura_flavescens	44.5	33.2	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lypothyphla	Crocidura_hildegardeae	26	10	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lypothyphla	Crocidura_leucodon	29.8	11.7	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lypothyphla	Crocidura_luna	24.8	11.8	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lypothyphla	Crocidura_olivieri	58.4	38.9	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lypothyphla	Crocidura_poensis	31.1	17.3	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lypothyphla	Crocidura_russula	22.9	10.4	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lypothyphla	Crocidura_suaveolens	18.9	6.5	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lypothyphla	Crocidura_viaria	22.1	14.7	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lypothyphla	Cryptotys_parva	19.2	6.2	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lypothyphla	Echinosorex_gymnura	504.84	721.2	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Lypothyphla	Erinaceus_concolor	347.1794	822.7	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Lypothyphla	Erinaceus_europaeus	337.5	750	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Lypothyphla	Hemiechinus_auritus	152	400	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Lypothyphla	Hylomys_suillus	60.112	57.8	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Lypothyphla	Neomys_anomalus	66.8	13.1	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lypothyphla	Neomys_fodiens	54.7	17.1	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lypothyphla	Neurotrichus_gibbsii	46.492	11.8	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Lypothyphla	Notisorex_crawfordi	13.2	4	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lypothyphla	Paraechinus_aethiopicus_(Hemiechinus_aethiopicus)	112.5	450	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Lypothyphla	Scalopus_aquaticus	67.68	48	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Lypothyphla	Scapanus_latimanus	76.2	61	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lypothyphla	Scapanus_orarius	64.1	61.2	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lypothyphla	Scapanus_townsendii	108.9	130.1	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lypothyphla	Sorex_alpinus	48.2	7.9	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lypothyphla	Sorex_araneus	44.7	7.5	Ochocinska&Taylor05	58.1	8.19	Ochocinska_&_Taylor05
Eutheria	Lypothyphla	Sorex_cinereus	31.5	3.5	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lypothyphla	Sorex_coronatus	51.9	9.1	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lypothyphla	Sorex_minutus	30.8	4	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lypothyphla	Sorex_ornatus	52.3	9.7	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lypothyphla	Sorex_vagrans	28.1	5.2	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lypothyphla	Suncus_etruscus	14.4	2.4	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lypothyphla	Suncus_murinus	59.5	30.2	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Lypothyphla	Talpa_europaea	-9999	-9999	-9999	173	87.7	Speakman_1997
Eutheria	Macroscelidea	Elephantulus_brachyrhynchus	43.71	45.3	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Macroscelidea	Elephantulus_edwardii	54.5	50	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Macroscelidea	Elephantulus_intufi	52	46.49	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Macroscelidea	Elephantulus_myurus	66.31	62.97	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Macroscelidea	Elephantulus_rozeti	47.8	45.31	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Macroscelidea	Elephantulus_rufescens	56.87	53	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Macroscelidea	Macroscelides_proboscideus	52.26	39	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Macroscelidea	Petrodromus_tetradactylus	179.52	206.11	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Pholidota	Manis_crassicaudata	1240.98	15910	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Pholidota	Manis_javanica	1105.64	4220	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Pholidota	Manis_pentadactyla	667.845	3637.5	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Pholidota	Manis_tetradactyla	229.09	1430	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Pholidota	Manis_tricuspis	276	1365	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Primates	Aloutta_palliata	2055	4670	White&Seymour03PNAS	2580	7330	Nagy_et_al99
Eutheria	Primates	Aotus_trivirgatus	442	820	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Primates	Callithrix_jacchus	152	190	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Primates	Cebuella_pygmea_(Callithrix_pygmaea)	117	116.8	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Primates	Erythrocebus_patas	1068	3000	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Primates	Eulemur_fulvus	746	2330	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Primates	Galago_moholi	51.2	170	Ross92	-9999	-9999	-9999
Eutheria	Primates	Galago_senegalensis	137.2	171.5	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Primates	Leontopithecus_rosalia	381.5	733.7	Thompson_et_al94	-9999	-9999	-9999
Eutheria	Primates	Macaca_fuscata	4173.6	9550	Nakayama_et_al71	-9999	-9999	-9999
Eutheria	Primates	Microcebus_murinus	-9999	-9999	-9999	115.4	64.5	Schmid_&_Speakman_2000
Eutheria	Primates	Nycticebus_coucang	272.6	1160	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Primates	Otolemur_crassicaudatus	412	950	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Primates	Otolemur_garnetti	704	1314	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Primates	Papio_anubis	2777.89	9500	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Primates	Perodicticus_potto	337	898	Genoud2002	-9999	-9999	-9999
Eutheria	Primates	Saguinus_geoffroyi	234	225	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Primates	Saimiri_sciureus	800.628	875	White_et_al06BiolLett	-9999	-9999	-9999
Eutheria	Primates	Tarsius_spectrum	149	173	White&Seymour03PNAS	-9999	-9999	-9999
