	AEP	PEP	G1P	G6P	MethCP	BGP	DNA	Peth	Pchol	B1	Phyt	SRP	cAMP	ATP	PhenylCP	PolyP	GDP	GTP
LL43F	0.61688388	0.689437151	0.619883608	0.69406313	0	0.649851092	0.102589347	0.061593901	0.155030636	0.770082521	0.444141729	0.764581199	0.799026127	0.962915996	0.000240501	0.860568089	1	0.869736416
LL46	0.000728005	0.514227982	0	0.03131778	0.006710896	0	0	0.315824138	0.037183505	1	0.495345512	0.52085472	0	0.509575946	0	0.511970586	0.555166068	0.584760745
LL5	0.029081489	0.214919259	0.297131297	1	0.041117304	0.368906572	0.024576755	0.088701145	0	0.346213658	0.177870468	0.252627218	0.279604242	0.233075809	0.03230541	0.248260732	0.280982037	0.24203004
LL8	0	0.744667175	0.956676895	0.887439144	0.42501409	0.646158808	0.247234038	0.251178996	0.56926223	0.740258077	0.855320392	0.410432319	0	0.819793151	0.161451755	0.488192742	1	0.921003197
LL9	0.049562553	0.498500296	0.006634295	0.015104179	0	0.005771105	0.006425448	0.343085797	0.02776792	1	0.855124904	0.723527596	0.0075672	0.497659265	0.024695986	0.534172689	0.501307484	0.688536546
LLX12A	0.385653123	0.73372164	0.925040849	0.729260412	0.104178133	0.810591283	0.304357262	0.901770579	0.98893975	0.986853464	0.877337323	0.896922273	1	0.832456342	0	0.863328143	0.770797201	0.822767475
LLX17	0	0.463346252	0.023514849	0	0	0	0	0.196911945	0	1	0.382393894	0.487773832	0	0.551037799	0	0.468286258	0.483070633	0.571215099
LLX3	1	0.674025178	0.802628702	0.674770313	0	0.860138688	0.202683041	0.166215829	0.462726535	0.780310054	0.537398996	0.805753048	0.905607263	0.801455502	0	0.689345196	0.854300034	0.819712931
WG14	0.005487564	0.661305017	0.919579098	0.946299558	0.004387986	0.604641885	0.013503279	0.000857137	0.007169281	1	0.568416886	0.791726191	0	0.369231184	0	0.636186487	0.649750156	0.398150112
WG16	0	0.758209756	0.763343639	0.787649579	0	0.722291884	0.137298222	0.036093123	0	0.672929049	0.802800039	0.686629293	1	0.948723386	0.800513883	0.816093418	0.794970384	0.804908562
WG21	0.842573846	0.415973003	0.508098594	0.558397914	0	0.520077108	0.942299625	1	0.462069371	0.325208651	0.313951386	0.916023955	0.867301136	0.704068709	0	0.406134378	0.549612606	0.486631417
WG22	0.220234728	0.28838085	0.38553388	0.239662576	0.00302852	0.233701824	0.495960103	0.032867727	1	0.402312866	0.242037606	0.363619095	0.470397896	0.587352441	0	0.354525767	0.29997135	0.338743969
WG23A	0.55867788	0.526627971	0.717595027	0.51542871	0	0.637437575	0.3567349	0.190101104	0.188704214	1	0.305549157	0.924281657	0.643745978	0.692750894	0	0.513026393	0.654023506	0.590819705
WG26	0.767268004	0.812628799	0.887999245	0.859656628	0	0.752389021	0.07990818	0.338354155	0.706630786	0.637170771	0.367980511	1	0.945490953	0.682283263	0	0.842816245	0.425276374	0.536220876
WG27	0	0.783427982	0.834527966	0.808742954	0	0.754579604	0.714103122	0.003323488	0.159320117	0.819210899	0.673962212	0.930678861	0.783605849	0.86986621	0.008876018	0.80981601	1	0.827079724
WG28	0	0.496671927	0.451060017	0.384763327	0.036975086	0.506467485	0.558151029	0.163795687	0.807923553	0.590306294	1	0.483098481	0.76568188	0.431038979	0.04062472	0.474233663	0.722495072	0.461497917
WG34B	0.906239568	0.819112343	0.750844624	0.708040306	0.000584285	0.781575399	0.0039604	0.002969778	0.000967912	1	0.008241057	0.907458446	0	0.71164902	0	0.606100317	0.8440634	0.710801941
WG36	0.468210972	0.69325091	0.709587953	0.700582618	0.559234011	0.702192742	0.347994354	0	0	0.786347447	0.139525514	0.772411692	0.347419541	0.882302125	0.606415734	0.736471068	1	0.952793481
WG40	0.500511609	0.483870089	0.510346246	0.435224621	0	0.453626034	0	0.009564504	0	1	0.140434424	0.717307909	0	0	0	0.475757201	0.009982235	0.000999189
WG42	0.810509785	0.649242985	0.725462245	0.702053331	0	0.684309051	0.03367914	0.92253484	1	0.803726783	0.824193586	0.761267922	0.6732393	0.750859309	0	0.838516901	0.672812751	0.756789861
WG43	0.029376102	0.616936064	0.612542153	0.668767739	0	0.623823476	0.615686475	1	0	0.544344848	0.596595319	0.674765248	0.679808518	0.90016009	0.004419815	0.631498354	0.710474109	0.698893953
WG44	0.998455934	0.400727062	0.754867375	0.425983582	0	0.496698749	0.008882697	0.173465614	0.621226863	0.612804924	0.413349767	1	0.721356794	0.468054902	0.339867634	0.394990046	0.548751852	0.441742088
WG481	0.008636042	0.553278376	0.639114558	0.534946731	0	0.492094261	0.764627669	0.128789229	0	0.50355815	0.695135098	0.812707788	0.767811748	0.636715779	0.001502144	0.822201808	1	0.907984715
WG49	0.024608123	1	0.233247352	0.319434485	0	0.827771903	0.021022306	0.002467656	0	0.525579451	0.288972356	0.69244111	0.164967305	0.873170767	0	0.526153923	0.99086444	0.658980819
WG56	0.032589378	0.771150075	0.710090382	0.740534288	0	0.885929859	0.497475076	0.224261976	0.031683939	0.769740063	0.539058736	0.851928439	0.717769539	0.817795916	0	0.743513115	1	0.927369923
WG58A	0.07981135	0.205500628	0.258070899	0.200235312	8.84E-05	0.201561551	0.100305673	0.040854914	0.038267804	0.307226998	0.078010149	0.194171853	0.111648101	0.379508096	0	0.157792092	1	0.787199155
WG58B	1	0.726131557	0.644571217	0.613811323	0	0.677091733	0	0	0	0.732419815	0.173598922	0.972501788	0.009421149	0.574707512	0.002718481	0.710999499	0.423898288	0.384436364
WG59	0.601659106	1	0.557076526	0.56382939	0.000876006	0.583957513	0.001212406	0.247014069	0.015969453	0.88436207	0.243952969	0.959441345	0.700623883	0.478637183	0.000496618	0.584158493	0.621335137	0.44257287
WG74	0	0.501631096	0.692567694	0.581498092	0	0.461460688	0.861460331	0.230839191	0.249646451	0.598541701	0.818499944	0.893505473	1	0.927091471	0	0.861467518	0.698778227	0.667056903
