"tax.Phylum"	"tax.Class"	"tax.Order"	"tax.Family"	"tax.Genus"	"otu.T1.dry"	"otu.T1.wet"	"otu.T1.dry.1"	"otu.T1.wet.1"	"otu.T1.dry.2"	"otu.T1.wet.2"	"otu.T7.dry"	"otu.T7.wet"	"otu.T7.dry.1"	"otu.T7.wet.1"	"otu.T7.dry.2"	"otu.T7.wet.2"	"otu.DF.dry"	"otu.DF.wet"	"otu.DF.dry.1"	"otu.DF.wet.1"	"otu.DF.dry.2"	"otu.CF.dry"	"otu.CF.wet"	"otu.CF.dry.1"	"otu.CF.wet.1"	"otu.CF.dry.2"	"otu.CF.wet.2"
"Otu0012"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Sinobacteraceae"	"uncultured"	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	1	0	17	21	14	20	22	21
"Otu0013"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Oxalobacteraceae"	"Massilia"	12	18	7	21	7	1	0	7	0	2	0	0	0	0	0	6	0	0	13	0	1	0	1
"Otu0014"	"Actinobacteria"	"Actinobacteria"	"Actinobacteridae"	"Actinomycetales"	"Frankineae"	0	0	0	0	1	1	9	2	1	0	1	0	5	4	4	1	2	10	13	3	5	21	9
"Otu0015"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"unclassified"	1	10	1	9	3	3	2	17	0	9	1	4	1	9	1	5	5	0	0	1	6	1	1
"Otu0016"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhodobiaceae"	"Rhodobium"	3	0	2	1	0	3	6	4	12	4	10	6	7	3	7	5	5	0	0	10	0	7	2
"Otu0017"	"Acidobacteria"	"Acidobacteria"	"Acidobacteriales"	"Acidobacteriaceae"	"Candidatus_Chloroacidobacterium"	0	0	2	3	3	1	0	3	13	10	1	10	2	8	3	7	7	0	1	4	0	0	0
"Otu0018"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Oxalobacteraceae"	"unclassified"	0	0	0	1	0	0	0	17	0	10	0	3	1	16	0	21	9	0	0	0	0	0	0
"Otu0019"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Methylibium"	1	2	3	0	2	4	1	2	0	1	0	1	0	10	5	5	0	0	12	1	12	2	15
"Otu0020"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Methylocystaceae"	"uncultured"	3	3	1	1	2	2	2	2	5	4	2	5	1	3	5	6	4	5	12	6	8	2	10
"Otu0021"	"Bacteroidetes"	"Sphingobacteria"	"Sphingobacteriales"	"Chitinophagaceae"	"unclassified"	1	0	0	3	0	0	1	1	3	1	1	1	5	3	7	5	0	10	2	20	10	4	7
"Otu0022"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"unclassified"	"unclassified"	0	0	0	0	0	2	4	14	0	5	3	3	9	12	2	1	9	1	1	2	3	3	3
"Otu0023"	"Acidobacteria"	"Acidobacteria"	"Acidobacteriales"	"Acidobacteriaceae"	"Edaphobacter"	1	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	14	19	4	4	10	22
"Otu0024"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"unclassified"	2	8	1	1	0	9	1	6	3	7	0	3	0	9	0	7	3	0	6	1	4	1	1
"Otu0025"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Caulobacter"	1	3	1	4	0	0	1	3	0	0	0	0	0	2	1	5	3	3	4	1	13	10	17
"Otu0026"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"unclassified"	1	0	2	5	0	0	2	1	4	2	0	7	2	9	10	8	0	1	1	1	6	8	2
"Otu0027"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"unclassified"	0	0	1	2	0	1	1	7	1	12	0	5	2	10	0	7	15	0	0	0	1	0	0
"Otu0028"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"unclassified"	"unclassified"	0	0	2	0	3	0	6	1	5	5	3	6	8	3	11	4	6	0	0	4	1	0	1
"Otu0029"	"Acidobacteria"	"Acidobacteria"	"Acidobacteriales"	"Acidobacteriaceae"	"unclassified"	6	9	6	8	2	2	1	0	0	0	0	0	4	1	11	6	1	6	0	2	2	1	2
"Otu0030"	"Gemmatimonadetes"	"Gemmatimonadetes"	"Gemmatimonadales"	"Gemmatimonadaceae"	"unclassified"	11	13	15	14	4	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu0031"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"unclassified"	5	8	4	9	2	7	5	2	2	1	4	3	2	3	0	1	6	0	0	2	2	0	0
"Otu0032"	"Acidobacteria"	"Acidobacteria"	"Acidobacteriales"	"Acidobacteriaceae"	"Acidobacterium"	0	1	2	1	0	1	0	1	2	3	0	0	1	2	1	1	1	8	6	5	4	8	16
"Otu0033"	"Acidobacteria"	"Acidobacteria"	"Acidobacteriales"	"Acidobacteriaceae"	"Candidatus_Koribacter"	0	0	2	0	1	0	0	0	0	1	0	0	0	1	2	2	0	19	21	3	4	2	4
"Otu0034"	"Actinobacteria"	"Actinobacteria"	"Rubrobacteridae"	"Solirubrobacterales"	"Solirubrobacteriaceae"	6	1	4	1	1	0	8	6	1	1	1	3	3	3	1	7	4	1	2	1	1	0	0
"Otu0035"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"wr0007"	"unclassified"	0	1	1	0	0	0	5	1	2	1	1	4	8	4	14	1	2	3	0	4	3	3	2
"Otu0036"	"Acidobacteria"	"Acidobacteria"	"Acidobacteriales"	"Acidobacteriaceae"	"Edaphobacter"	1	2	3	0	0	0	1	0	1	1	2	0	0	2	6	0	0	7	8	1	6	10	9
"Otu0037"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"alphaI_cluster"	"unclassified"	0	0	0	0	0	0	0	0	1	0	0	0	6	3	3	1	0	12	8	7	4	11	7
"Otu0038"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"unclassified"	2	1	1	0	0	2	4	9	2	16	2	2	0	0	1	1	7	0	0	0	0	0	0
"Otu0039"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"	1	1	1	0	7	1	0	6	0	11	1	5	0	3	0	0	2	0	0	0	0	0	1
"Otu0040"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"unclassified"	"unclassified"	0	0	0	4	0	0	0	1	0	0	0	0	1	6	1	6	0	1	4	2	8	8	9
"Otu0041"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"uncultured"	0	3	1	2	1	6	0	7	1	7	0	4	0	5	0	2	4	0	0	7	0	0	0
"Otu0042"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Xanthobacteraceae"	"uncultured"	0	0	2	1	1	1	2	3	2	4	0	2	6	4	3	4	2	0	2	5	4	5	1
"Otu0043"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Phenylobacterium"	1	1	0	0	0	1	5	6	0	4	0	4	1	1	5	1	3	1	10	2	1	4	2
"Otu0044"	"Acidobacteria"	"Acidobacteria"	"Acidobacteriales"	"Acidobacteriaceae"	"Candidatus_Chloroacidobacterium"	1	3	5	9	8	2	0	0	2	12	3	0	0	0	1	0	0	0	0	1	0	0	0
"Otu0045"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	3	0	2	2	0	0	21	1	9	2	3	0	2	2	0	0	1	3	2	1	0
"Otu0046"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacteriales"	"Enterobacteriaceae"	"Enteric_Bacteria_cluster"	1	0	1	1	43	1	1	0	0	0	1	0	0	0	0	0	0	10	0	0	0	0	0
"Otu0047"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"unclassified"	1	2	4	0	1	2	0	0	0	1	1	0	2	1	1	2	0	2	7	5	2	21	1
"Otu0048"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"unclassified"	0	0	0	0	1	0	1	0	2	17	1	7	2	4	0	4	5	0	0	0	0	0	0
"Otu0049"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Bradyrhizobiaceae"	"unclassified"	0	4	1	4	1	0	2	3	3	0	0	0	0	2	0	0	2	7	4	0	2	6	6
"Otu0050"	"Acidobacteria"	"Acidobacteria"	"Acidobacteriales"	"Acidobacteriaceae"	"Acidobacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	12	13	0	3	8	8
"Otu0051"	"Actinobacteria"	"Actinobacteria"	"Actinobacteridae"	"Actinomycetales"	"Corynebacterineae"	3	2	2	1	0	1	6	1	1	1	2	2	3	5	6	2	4	1	0	4	0	2	0
"Otu0052"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Methylibium"	2	0	3	0	0	0	4	3	2	6	1	1	2	2	8	7	1	0	0	0	0	0	0
"Otu0053"	"Acidobacteria"	"Acidobacteria"	"Acidobacteriales"	"Acidobacteriaceae"	"uncultured"	0	0	1	1	0	0	1	0	16	2	3	1	2	2	7	6	4	0	0	2	0	0	0
"Otu0054"	"Proteobacteria"	"Betaproteobacteria"	"TRA3-20"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	19	9	4	4	2	1	5	0	3	0	1	0	0	0	0
"Otu0055"	"Actinobacteria"	"Actinobacteria"	"Actinobacteridae"	"Actinomycetales"	"Corynebacterineae"	0	0	0	0	0	0	4	1	2	2	0	1	1	1	0	4	0	5	4	2	5	4	4
"Otu0056"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Oxalobacteraceae"	"Massilia"	1	0	0	5	0	0	0	9	0	9	0	4	0	9	0	4	0	0	0	0	0	0	0
"Otu0057"	"Acidobacteria"	"Acidobacteria"	"Acidobacteriales"	"Acidobacteriaceae"	"Candidatus_Solibacter"	0	0	1	0	0	0	0	0	0	0	0	0	5	2	4	6	0	16	5	1	0	3	3
"Otu0058"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Pelomonas"	0	0	0	1	1	0	0	2	2	3	4	5	0	3	1	1	10	3	0	0	2	0	1
"Otu0059"	"Actinobacteria"	"Actinobacteria"	"Actinobacteridae"	"Actinomycetales"	"unclassified"	2	2	1	0	1	0	0	1	0	5	0	0	1	8	1	2	1	0	1	4	7	0	0
"Otu0060"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Variovorax"	0	0	0	0	1	0	13	2	2	2	5	3	0	0	8	2	1	1	0	5	1	0	0
"Otu0061"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"wr0007"	"unclassified"	0	1	2	2	0	0	3	1	3	1	4	1	1	2	2	3	2	2	2	2	0	3	2
"Otu0062"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"unclassified"	"unclassified"	0	0	0	0	0	3	1	1	1	3	0	3	0	6	3	0	3	0	2	3	1	2	2
"Otu0063"	"Acidobacteria"	"Acidobacteria"	"Acidobacteriales"	"Acidobacteriaceae"	"Candidatus_Solibacter"	0	1	1	1	0	2	1	0	0	0	0	0	2	1	3	0	2	7	0	9	6	4	2
"Otu0064"	"Acidobacteria"	"Acidobacteria"	"Acidobacteriales"	"Acidobacteriaceae"	"Candidatus_Solibacter"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	19	0	5	0	6	7
"Otu0065"	"Acidobacteria"	"Holophagae"	"iii1-8"	"unclassified"	"unclassified"	3	5	7	4	2	5	2	4	3	5	0	0	0	0	0	2	0	0	0	1	0	0	0
"Otu0066"	"Proteobacteria"	"Betaproteobacteria"	"unclassified"	"unclassified"	"unclassified"	3	9	6	7	3	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu0067"	"Actinobacteria"	"Actinobacteria"	"Rubrobacteridae"	"unclassified"	"unclassified"	1	2	0	0	0	0	0	0	0	0	2	0	1	0	9	5	0	0	2	3	6	7	4
"Otu0068"	"Actinobacteria"	"Actinobacteria"	"Rubrobacteridae"	"AKIW543"	"unclassified"	0	1	1	0	0	1	6	1	0	3	3	4	2	2	4	6	1	1	0	0	0	0	0
"Otu0069"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"DA111"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	3	3	10	17
"Otu0070"	"Acidobacteria"	"Acidobacteria"	"Acidobacteriales"	"Acidobacteriaceae"	"Candidatus_Chloroacidobacterium"	5	3	8	0	8	11	0	1	3	1	1	0	1	0	1	2	1	0	0	0	0	0	0
"Otu0071"	"Actinobacteria"	"Actinobacteria"	"Actinobacteridae"	"Actinomycetales"	"Frankineae"	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	2	5	4	5	9	4
"Otu0072"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Erythrobacteraceae"	"unclassified"	0	0	0	0	0	2	0	3	1	10	5	6	0	0	1	1	1	0	3	0	1	1	0
"Otu0073"	"Candidate_division_TM7"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	1	25	1	5	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0
"Otu0074"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Caulobacter"	0	1	2	0	0	2	2	1	0	2	2	4	5	1	2	0	1	2	0	2	0	2	5
"Otu0075"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	9	5	16	0	2
"Otu0076"	"Acidobacteria"	"Holophagae"	"32-20"	"unclassified"	"unclassified"	0	0	0	2	0	0	3	2	1	2	4	2	2	3	8	2	1	0	0	0	0	0	0
"Otu0077"	"Bacteroidetes"	"Sphingobacteria"	"Sphingobacteriales"	"Chitinophagaceae"	"Terrimonas"	0	0	0	0	1	1	1	1	18	1	3	1	3	0	1	0	3	0	0	1	0	0	0
"Otu0078"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"unclassified"	5	2	1	10	1	5	2	1	2	1	0	1	0	0	0	0	0	0	0	0	0	1	0
"Otu0079"	"Acidobacteria"	"Acidobacteria"	"Acidobacteriales"	"Acidobacteriaceae"	"Acidobacterium"	2	13	2	4	1	4	0	2	0	0	0	0	0	0	0	0	0	1	1	0	5	0	4
"Otu0080"	"Nitrospirae"	"Nitrospira"	"Nitrospirales"	"Nitrospiraceae"	"Nitrospira"	6	3	8	7	8	2	0	0	0	1	0	2	0	0	1	0	1	0	0	1	0	0	0
"Otu0081"	"Acidobacteria"	"Acidobacteria"	"Acidobacteriales"	"Acidobacteriaceae"	"Edaphobacter"	0	4	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	5	8	2	6	3	2
"Otu0082"	"Acidobacteria"	"Acidobacteria"	"Acidobacteriales"	"Acidobacteriaceae"	"Candidatus_Solibacter"	0	1	2	0	1	0	1	0	2	0	1	0	9	1	4	3	1	1	3	2	0	4	4
"Otu0083"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Oxalobacteraceae"	"unclassified"	0	0	0	0	0	0	0	1	0	4	0	3	0	1	0	2	1	1	13	0	0	2	1
"Otu0084"	"Proteobacteria"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	2	2	2	3	12	13
"Otu0085"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	1	0	2	0	0	0	1	0	1	1	3	1	0	2	3	0	0	1	2	8	4	6	3
"Otu0086"	"Acidobacteria"	"Acidobacteria"	"Acidobacteriales"	"Acidobacteriaceae"	"Acidobacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	13	1	5	10	6
"Otu0087"	"Acidobacteria"	"Acidobacteria"	"Acidobacteriales"	"Acidobacteriaceae"	"Candidatus_Solibacter"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	7	5	4	5	5
"Otu0088"	"Actinobacteria"	"Actinobacteria"	"Acidimicrobidae"	"Acidimicrobiales"	"Acidimicrobineae"	1	0	0	0	0	0	5	1	4	0	3	1	4	0	2	0	3	0	0	3	2	2	0
"Otu0089"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Phyllobacteriaceae"	"Mesorhizobium"	2	2	1	0	1	0	5	4	7	0	0	3	0	0	2	0	4	1	0	0	0	0	0
"Otu0090"	"Acidobacteria"	"Acidobacteria"	"Acidobacteriales"	"Acidobacteriaceae"	"Candidatus_Chloroacidobacterium"	0	0	1	0	0	0	0	1	12	3	6	2	2	0	0	0	1	0	0	0	0	0	0
"Otu0091"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	13	8	1	2	6	4
"Otu0092"	"Actinobacteria"	"Actinobacteria"	"Rubrobacteridae"	"Solirubrobacterales"	"unclassified"	0	1	2	1	2	0	1	0	0	0	0	0	1	0	2	1	1	3	2	3	2	10	0
"Otu0093"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"unclassified"	7	11	3	3	0	4	0	2	0	2	0	0	1	2	0	0	2	0	0	0	0	0	0
"Otu0094"	"Acidobacteria"	"Acidobacteria"	"Acidobacteriales"	"Acidobacteriaceae"	"uncultured"	7	0	12	1	12	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu0095"	"Actinobacteria"	"Actinobacteria"	"Actinobacteridae"	"Actinomycetales"	"Frankineae"	9	3	2	1	4	2	5	2	2	0	1	1	0	0	0	0	1	0	0	0	0	0	0
"Otu0096"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5	15	5	0	0	3	0	1	1
"Otu0097"	"Acidobacteria"	"Acidobacteria"	"Acidobacteriales"	"Acidobacteriaceae"	"Candidatus_Chloroacidobacterium"	0	0	0	0	0	3	1	0	8	9	5	1	2	0	0	0	1	0	0	0	0	0	0
"Otu0098"	"Actinobacteria"	"Actinobacteria"	"Actinobacteridae"	"Actinomycetales"	"Micrococcineae"	4	2	1	1	1	1	0	1	4	7	6	3	1	1	1	0	1	0	0	1	1	0	0
"Otu0099"	"Actinobacteria"	"Actinobacteria"	"Rubrobacteridae"	"AKIW543"	"unclassified"	0	0	1	0	0	0	3	0	3	1	0	0	6	9	0	1	3	0	0	0	1	1	0
"Otu0100"	"Actinobacteria"	"Actinobacteria"	"Actinobacteridae"	"Actinomycetales"	"Propionibacterineae"	1	0	1	1	0	0	3	2	0	4	3	1	0	2	3	4	0	0	0	2	0	0	0
"Otu0101"	"Actinobacteria"	"Actinobacteria"	"Rubrobacteridae"	"AKIW543"	"unclassified"	2	1	1	0	0	0	5	1	2	8	3	2	0	0	1	0	1	0	0	0	0	0	0
"Otu0102"	"Proteobacteria"	"Betaproteobacteria"	"Nitrosomonadales"	"Nitrosomonadaceae"	"uncultured"	0	0	0	5	1	0	0	0	1	0	0	3	0	4	1	0	0	0	0	6	3	1	0
"Otu0103"	"Acidobacteria"	"Acidobacteria"	"Acidobacteriales"	"Acidobacteriaceae"	"Candidatus_Solibacter"	3	5	2	2	5	2	1	0	3	2	0	0	1	0	0	3	0	0	0	0	0	0	1
"Otu0104"	"Actinobacteria"	"Actinobacteria"	"Rubrobacteridae"	"Solirubrobacterales"	"Solirubrobacteriaceae"	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	2	2	6	4	4	2	6	3
"Otu0105"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Dyella"	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	2	1	0	12	0	3	0	11
"Otu0106"	"Gemmatimonadetes"	"Gemmatimonadetes"	"Gemmatimonadales"	"Gemmatimonadaceae"	"unclassified"	1	4	4	7	9	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Otu0107"	"Acidobacteria"	"Acidobacteria"	"Acidobacteriales"	"Acidobacteriaceae"	"uncultured"	0	0	1	0	3	0	1	0	2	0	3	3	2	1	4	2	5	0	0	0	2	0	2
"Otu0108"	"Proteobacteria"	"Betaproteobacteria"	"Nitrosomonadales"	"Nitrosomonadaceae"	"uncultured"	0	0	0	0	0	0	3	3	1	0	2	5	0	8	0	5	0	0	0	0	0	0	0
"Otu0109"	"Gemmatimonadetes"	"Gemmatimonadetes"	"Gemmatimonadales"	"Gemmatimonadaceae"	"unclassified"	4	5	5	8	1	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"Otu0110"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Rhodanobacter"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	5	0	2	5	10
"Otu0111"	"Proteobacteria"	"Betaproteobacteria"	"unclassified"	"unclassified"	"unclassified"	2	1	5	0	1	2	0	1	1	0	3	0	1	3	1	1	1	0	0	0	1	0	0
"Otu0112"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"unclassified"	0	0	0	0	0	0	0	1	1	0	2	0	1	7	1	4	5	0	0	0	2	0	0
"Otu0113"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	"unclassified"	1	0	0	0	0	0	4	2	1	2	4	4	0	4	1	3	1	0	0	0	0	1	0
"Otu0114"	"Bacteroidetes"	"Sphingobacteria"	"Sphingobacteriales"	"Chitinophagaceae"	"Flavisolibacter"	5	3	5	1	5	3	0	0	1	3	0	1	1	0	0	0	1	0	0	0	0	0	0
"Otu0115"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Burkholderia"	1	0	0	0	5	0	2	3	0	3	2	1	0	0	1	0	0	1	6	3	1	0	1
"Otu0116"	"Acidobacteria"	"Acidobacteria"	"Acidobacteriales"	"Acidobacteriaceae"	"unclassified"	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	6	7	2	1	4	8
"Otu0117"	"Acidobacteria"	"Acidobacteria"	"Acidobacteriales"	"Acidobacteriaceae"	"Edaphobacter"	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	3	4	3	6	1	7
"Otu0118"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"unclassified"	1	0	0	0	0	0	0	0	0	0	0	0	2	1	5	2	1	0	3	1	8	1	1
"Otu0119"	"Nitrospirae"	"Nitrospira"	"Nitrospirales"	"Nitrospiraceae"	"Nitrospira"	0	0	0	0	0	0	0	0	0	0	3	0	7	0	5	0	0	1	0	5	0	0	0
"Otu0120"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Phenylobacterium"	0	0	0	0	0	0	0	3	0	0	0	0	0	6	1	0	0	0	6	2	4	1	1
"Otu0121"	"Actinobacteria"	"Actinobacteria"	"Rubrobacteridae"	"AKIW543"	"unclassified"	0	0	0	0	0	0	1	0	1	4	3	6	2	1	0	4	4	0	0	0	0	0	0
"Otu0122"	"Actinobacteria"	"Actinobacteria"	"Actinobacteridae"	"Actinomycetales"	"Frankineae"	0	0	0	0	1	2	8	1	3	2	1	2	0	0	0	1	2	0	0	2	1	0	0
"Otu0123"	"Verrucomicrobia"	"Spartobacteria"	"DA101"	"unclassified"	"unclassified"	0	0	2	0	2	0	0	0	5	1	4	1	1	2	2	2	0	0	0	1	0	0	0
"Otu0124"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"	2	13	2	5	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"Otu0125"	"Acidobacteria"	"Acidobacteria"	"Acidobacteriales"	"Acidobacteriaceae"	"Candidatus_Solibacter"	4	6	9	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1
